链接,作者关键字
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85052177610&doi=10.1201%2f9781315371344&partnerID=40&md5=84e25dfb2fd8691471654452534d8fc9",
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85058873750&doi=10.1021%2facs.analchem.8b05042&partnerID=40&md5=0f859b0f642c7f6fa7d8c6068176f976",
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-0346341152&partnerID=40&md5=49915271b99b6c5dc06d13bf1c3681c7",
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-1542537591&partnerID=40&md5=d59d393b479758d53b310a3a155476a9",
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-1542516303&partnerID=40&md5=f3d6f531ec508ae5074109dfb8ddf826",
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85018319466&doi=10.1002%2fcind.813_5.x&partnerID=40&md5=b8347e8c1181769da13242d20a5c7b0c",
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85051514123&partnerID=40&md5=a6755a4e19e84094a912577084cebf1b",
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84931078018&doi=10.1089%2fgen.35.12.01&partnerID=40&md5=0aabc94ae66f5a3684174a60abb22f3f",
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85025286905&doi=10.1515%2fgps-2013-0018&partnerID=40&md5=9ad6482491627c6e89bc8e97344121e4",
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84984760553&doi=10.1038%2fnphys1927&partnerID=40&md5=0b73c44a2cb3753224b72f0c8d5e0a76",
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-59349099165&doi=10.1016%2fj.mechrescom.2008.12.006&partnerID=40&md5=365b86051eb275e3e0d36011a222374d",
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-44349167689&partnerID=40&md5=468a52ec1b32426b29793585aa41b320",
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-47149116508&partnerID=40&md5=42a8cf70c7e123b1f99a970afacf56dd",
